TransactionDate,PostedDate,Description,Amount,CategoryId,CategoryName,InclusionStatus
2025-03-04,2025-03-05,"CIBC BANK PMT/PAIEMENT BCIC",-2300.00,"payment","Payment",Exclude
2025-02-21,2025-02-24,"CDN TIRE GASBAR #01904 KELOWNA BC",88.00,"gas","Gas & Fuel",Include
2025-02-21,2025-02-24,"AMAZON* UG97Q7BM3 VANCOUVER BC",14.10,"uncategorized","Uncategorized",Include
2025-02-22,2025-02-24,"CARTOGRAPHER3D.COM TUNBRIDGE WELLND",59.70,"hobbies","Hobbies",Include
2025-02-23,2025-02-24,"AMAZON* MY6HH5M43 VANCOUVER BC",83.98,"uncategorized","Uncategorized",Include
2025-02-23,2025-02-24,"COSTCO WHOLESALE W1578 KELOWNA BC",462.11,"groceries","Groceries",Include
2025-02-23,2025-02-24,"COSTCO WHOLESALE W1578 KELOWNA BC",7.33,"groceries","Groceries",Include
2025-02-21,2025-02-25,"ARBY©S #2033 Q2P KELOWNA BC",13.95,"fast-food","Fast Food",Include
2025-02-25,2025-02-25,"TIM HORTONS #1459 250-863-9709 BC",3.14,"fast-food","Fast Food",Include
2025-02-25,2025-02-26,"NETFLIX.COM Vancover BC",26.87,"entertainment","Entertainment",Include
2025-02-26,2025-02-26,"TIM HORTONS #1459 250-863-9709 BC",7.85,"fast-food","Fast Food",Include
2025-02-26,2025-02-28,"A&W #0612 KELOWNA BC",36.60,"fast-food","Fast Food",Include
2025-02-26,2025-02-28,"BOOSTER JUICE # 541 PO KELOWNA BC",9.02,"fast-food","Fast Food",Include
2025-03-01,2025-03-03,"COSTCO WHOLESALE W1578 KELOWNA BC",17.46,"groceries","Groceries",Include
2025-03-01,2025-03-03,"COSTCO WHOLESALE W1578 KELOWNA BC",77.12,"groceries","Groceries",Include
2025-03-02,2025-03-03,"AMAZON.COM.CA www.amazon.coON",176.52,"uncategorized","Uncategorized",Include
2025-03-02,2025-03-03,"AMAZON* UW2AI72L3 VANCOUVER BC",34.39,"uncategorized","Uncategorized",Include
2025-03-02,2025-03-03,"GITHUB, INC. SAN FRANCISCOCA",14.82,"business-expense","Business Expense",Include
2025-03-03,2025-03-03,"Amazon Web Services www.amazon.caON",22.57,"business-expense","Business Expense",Include
2025-03-04,2025-03-04,"GOOGLE *YouTubePremium 650-253-0000 NS",14.55,"entertainment","Entertainment",Include
2025-03-03,2025-03-05,"TACO TIME CANTINA KELOWNA BC",19.50,"fast-food","Fast Food",Include
2025-03-05,2025-03-05,"DOMINO©S PIZZA #39022 250-861-5731 BC",68.49,"fast-food","Fast Food",Include
2025-03-06,2025-03-06,"TIM HORTONS #1459 250-863-9709 BC",4.03,"fast-food","Fast Food",Include
2025-03-05,2025-03-07,"DAIRY QUEEN #27421 KELOWNA BC",8.60,"fast-food","Fast Food",Include
2025-03-05,2025-03-07,"SHOPPERS DRUG MART #22 KELOWNA BC",25.17,"personal-care","Personal Care",Include
2025-03-07,2025-03-10,"McDonalds 29032 KELOWNA BC",6.92,"fast-food","Fast Food",Include
2025-03-08,2025-03-10,"Ad free for PrimeVideo Prime Video BC",3.35,"entertainment","Entertainment",Include
2025-03-08,2025-03-10,"DOZO HOUSE KELOWNA BC",65.21,"dining","Dining & Restaurants",Include
2025-03-09,2025-03-10,"FS *FLIXTOOLS VANCOUVER BC",31.36,"uncategorized","Uncategorized",Include
2025-03-10,2025-03-10,"Microsoft*Ultimate 1 M Mississauga ON",25.75,"entertainment","Entertainment",Include
2025-03-11,2025-03-12,"PETRO-CANADA 68287 KELOWNA BC",66.50,"gas","Gas & Fuel",Include
2025-03-11,2025-03-12,"AMAZON.COM * A94852UE3 VANCOUVER BC",8.54,"uncategorized","Uncategorized",Include
2025-03-12,2025-03-12,"TIM HORTONS #1459 250-863-9709 BC",8.05,"fast-food","Fast Food",Include
2025-03-11,2025-03-13,"WAL-MART #3042 KELOWNA BC",100.56,"groceries","Groceries",Include
2025-03-13,2025-03-14,"McDonalds 29032 KELOWNA BC",31.74,"fast-food","Fast Food",Include
2025-03-13,2025-03-14,"Audible CA*TY9MY48T3 Amzn.com/billNJ",16.74,"entertainment","Entertainment",Include
2025-03-14,2025-03-17,"APPLE.COM/BILL TORONTO ON",49.69,"cell-phones","Cell Phones",Include
2025-03-15,2025-03-17,"McDonalds 22109 KELOWNA BC",4.08,"fast-food","Fast Food",Include
2025-03-15,2025-03-17,"DAIRY QUEEN #27421 KELOWNA BC",17.20,"fast-food","Fast Food",Include
2025-03-16,2025-03-17,"TWILIO INC SAN FRANCISCOCA",15.32,"business-expense","Business Expense",Include
2025-03-18,2025-03-19,"McDonalds 29032 KELOWNA BC",6.92,"fast-food","Fast Food",Include
2025-03-18,2025-03-20,"SAVE ON FOODS #2224 KELOWNA BC",69.66,"groceries","Groceries",Include
