TransactionDate,PostedDate,Description,Amount,CategoryId,CategoryName,InclusionStatus
2025-04-02,2025-04-03,"CIBC BANK PMT/PAIEMENT BCIC",-2000.00,"payment","Payment",Exclude
2025-03-20,2025-03-24,"ICBC REFUND N VANCOUVER BC",-110.00,"refund","Refund",Exclude
2025-03-20,2025-03-24,"ICBC REFUND N VANCOUVER BC",-110.00,"refund","Refund",Exclude
2025-03-21,2025-03-24,"PIZZA HUT #31142 KELOWNA BC",55.49,"dining","Dining & Restaurants",Include
2025-03-21,2025-03-24,"COSTCO WHOLESALE W1578 KELOWNA BC",223.54,"groceries","Groceries",Include
2025-03-24,2025-03-24,"TIM HORTONS #1459 250-863-9709 BC",17.16,"fast-food","Fast Food",Include
2025-03-25,2025-03-25,"NETFLIX.COM Vancover BC",26.87,"entertainment","Entertainment",Include
2025-03-24,2025-03-26,"SAVE ON FOODS #2224 KELOWNA BC",52.36,"groceries","Groceries",Include
2025-03-25,2025-03-27,"SAVE ON FOODS #2224 KELOWNA BC",46.15,"groceries","Groceries",Include
2025-03-26,2025-03-27,"GCDS170 KELOWNA KELOWNA BC",9.80,"uncategorized","Uncategorized",Include
2025-03-26,2025-03-27,"BLUEBIRD MEDICAL CLINI KELOWNA BC",150.00,"healthcare","Healthcare",Include
2025-03-26,2025-03-28,"MCDONALD©S #29032 QPS KELOWNA BC",14.26,"fast-food","Fast Food",Include
2025-03-28,2025-03-31,"AMAZON* 8W73W0VU3 VANCOUVER BC",106.59,"uncategorized","Uncategorized",Include
2025-03-27,2025-03-31,"SAVE ON FOODS #2224 KELOWNA BC",53.18,"groceries","Groceries",Include
2025-03-29,2025-03-31,"AMAZON* 2I09C0DW3 VANCOUVER BC",33.59,"uncategorized","Uncategorized",Include
2025-03-28,2025-03-31,"AMAZON* 5G9CH1VR3 VANCOUVER BC",20.15,"uncategorized","Uncategorized",Include
2025-03-29,2025-03-31,"McDonalds 29032 KELOWNA BC",9.12,"fast-food","Fast Food",Include
2025-03-29,2025-03-31,"WEALTHSIMPLE TAX TORONTO ON",44.80,"miscellaneous","Miscellaneous",Include
2025-03-30,2025-03-31,"PETRO-CANADA 02820 KELOWNA BC",72.37,"gas","Gas & Fuel",Include
2025-03-30,2025-03-31,"BAR BURRITO KELOWNA BC",48.02,"fast-food","Fast Food",Include
2025-03-30,2025-04-01,"BULK BARN 673 KELOWNA KELOWNA BC",53.32,"groceries","Groceries",Include
2025-03-31,2025-04-01,"COSTCO WHOLESALE W1578 KELOWNA BC",189.78,"groceries","Groceries",Include
2025-03-31,2025-04-01,"COSTCO WHOLESALE W1578 KELOWNA BC",17.46,"groceries","Groceries",Include
2025-03-31,2025-04-01,"COSTCO WHOLESALE W1578 KELOWNA BC",3.66,"groceries","Groceries",Include
2025-04-01,2025-04-02,"AMAZON.COM.CA www.amazon.coON",109.80,"uncategorized","Uncategorized",Include
2025-04-02,2025-04-02,"Amazon Web Services www.amazon.caON",23.31,"business-expense","Business Expense",Include
2025-04-02,2025-04-03,"GITHUB, INC. SAN FRANCISCOCA",14.78,"business-expense","Business Expense",Include
2025-04-01,2025-04-03,"SAVE ON FOODS #2224 KELOWNA BC",12.61,"groceries","Groceries",Include
2025-04-02,2025-04-03,"SP CPAP CANADA DIREC HAMMONDS PLAINS",142.00,"healthcare","Healthcare",Include
2025-04-03,2025-04-04,"GOOGLE *YouTubePremium 650-253-0000 NS",14.55,"entertainment","Entertainment",Include
2025-04-02,2025-04-04,"SAVE ON FOODS #2224 KELOWNA BC",64.06,"groceries","Groceries",Include
2025-04-03,2025-04-04,"SP LTT STORE SURREY BC",64.29,"gifts","Gifts",Include
2025-04-04,2025-04-04,"APPLE.COM/CA 800-676-2775 ON",43.68,"cell-phones","Cell Phones",Include
2025-04-04,2025-04-07,"AMAZON* QE9AB0V13 VANCOUVER BC",21.27,"uncategorized","Uncategorized",Include
2025-04-04,2025-04-07,"DISNEY PLUS 1 800727-1800CA",179.19,"entertainment","Entertainment",Include
2025-04-02,2025-04-07,"ARBY©S #2033 Q2P KELOWNA BC",15.76,"fast-food","Fast Food",Include
2025-04-04,2025-04-07,"MCDONALD©S #29032 QPS KELOWNA BC",10.70,"fast-food","Fast Food",Include
2025-04-06,2025-04-07,"AMAZON* BL0WX7GB3 VANCOUVER BC",141.11,"uncategorized","Uncategorized",Include
2025-04-07,2025-04-08,"CDN TIRE STORE #00353 KELOWNA BC",19.91,"uncategorized","Uncategorized",Include
2025-04-06,2025-04-08,"C-LOVERS FISH & CHIPS KELOWNA BC",48.76,"dining","Dining & Restaurants",Include
2025-04-07,2025-04-08,"SHOPPERS DRUG MART #22 KELOWNA BC",5.92,"personal-care","Personal Care",Include
2025-04-08,2025-04-08,"Ad free for PrimeVideo Prime Video BC",3.35,"entertainment","Entertainment",Include
2025-04-08,2025-04-08,"TIM HORTONS #1459 250-863-9709 BC",9.01,"fast-food","Fast Food",Include
2025-04-08,2025-04-09,"AFFIRM CANADA OTTAWA ON",209.99,"kitchen-&-household","Kitchen & Household",Include
2025-04-07,2025-04-09,"MCDONALD©S #3800 QPS KELOWNA BC",20.87,"fast-food","Fast Food",Include
2025-04-09,2025-04-10,"TEMU.COM VICTORIA BC",24.90,"uncategorized","Uncategorized",Include
2025-04-10,2025-04-10,"Microsoft*Ultimate 1 M Mississauga ON",25.75,"entertainment","Entertainment",Include
2025-04-10,2025-04-11,"CDN TIRE GASBAR #01904 KELOWNA BC",55.00,"gas","Gas & Fuel",Include
2025-04-10,2025-04-11,"CDN TIRE STORE #00353 KELOWNA BC",156.79,"uncategorized","Uncategorized",Include
2025-04-10,2025-04-11,"CDN TIRE STORE #00353 KELOWNA BC",22.38,"uncategorized","Uncategorized",Include
2025-04-11,2025-04-11,"TIM HORTONS #8502 250-717-3997 BC",5.12,"fast-food","Fast Food",Include
2025-04-10,2025-04-14,"SPECIALITY BAKERY KELOWNA BC",11.94,"fast-food","Fast Food",Include
2025-04-11,2025-04-14,"AMAZON* XI3PE15J3 VANCOUVER BC",20.14,"uncategorized","Uncategorized",Include
2025-04-12,2025-04-14,"TIM HORTONS #2097 250-863-9709 BC",9.99,"fast-food","Fast Food",Include
2025-04-12,2025-04-14,"Amazon Channels amazon.ca BC",11.19,"entertainment","Entertainment",Include
2025-04-12,2025-04-14,"AMAZON* 446AG8DQ3 VANCOUVER BC",14.55,"uncategorized","Uncategorized",Include
2025-04-12,2025-04-14,"APPLE.COM/CA TORONTO ON",14.56,"cell-phones","Cell Phones",Include
2025-04-11,2025-04-14,"PIZZA HUT #31161 VERNON BC",33.32,"fast-food","Fast Food",Include
2025-04-13,2025-04-14,"WALMART.CA Mississauga ON",172.36,"groceries","Groceries",Include
2025-04-14,2025-04-15,"APPLE.COM/BILL 866-712-7753 ON",49.69,"cell-phones","Cell Phones",Include
2025-04-14,2025-04-15,"1PASSWORD FAMILIES TORONTO ON",74.76,"miscellaneous","Miscellaneous",Include
2025-04-16,2025-04-16,"TIM HORTONS #1459 250-863-9709 BC",4.40,"fast-food","Fast Food",Include
2025-04-16,2025-04-17,"THE UPS STORE KELOWNA BC",19.03,"miscellaneous","Miscellaneous",Include
2025-04-15,2025-04-17,"SAVE ON FOODS #2224 KELOWNA BC",72.25,"groceries","Groceries",Include
2025-04-17,2025-04-17,"AMAZON.COM * FR2AI95Y3 VANCOUVER BC",39.72,"uncategorized","Uncategorized",Include
2025-04-16,2025-04-18,"STARBUCKS 00138 KELOWNA BC",10.92,"fast-food","Fast Food",Include
2025-04-17,2025-04-18,"McDonalds 29032 KELOWNA BC",18.08,"fast-food","Fast Food",Include
