TransactionDate,PostedDate,Description,Amount,CategoryId,CategoryName,InclusionStatus
2025-02-04,2025-02-05,"CIBC BANK PMT/PAIEMENT BCIC",-1300.00,"payment","Payment",Exclude
2025-01-21,2025-01-22,"COSTCO WHOLESALE W1578 KELOWNA BC",288.17,"groceries","Groceries",Include
2025-01-21,2025-01-22,"COSTCO WHOLESALE W1578 KELOWNA BC",3.49,"groceries","Groceries",Include
2025-01-22,2025-01-23,"BARBURRITO KELOWNA BC",24.48,"fast-food","Fast Food",Include
2025-01-24,2025-01-24,"TIM HORTONS #1459 250-863-9709 BC",6.93,"fast-food","Fast Food",Include
2025-01-24,2025-01-24,"TIM HORTONS #1459 250-863-9709 BC",7.98,"fast-food","Fast Food",Include
2025-01-25,2025-01-27,"Netflix.com 866-716-0414 ON",23.51,"entertainment","Entertainment",Include
2025-01-24,2025-01-27,"MCDONALD©S #29032 QPS KELOWNA BC",19.38,"fast-food","Fast Food",Include
2025-01-25,2025-01-27,"YUM YUM TREE KELOWNA BC",12.50,"fast-food","Fast Food",Include
2025-01-26,2025-01-27,"CDN TIRE STORE #00353 KELOWNA BC",74.56,"uncategorized","Uncategorized",Include
2025-01-24,2025-01-27,"ESSO 7-ELEVEN 37773 KELOWNA BC",79.59,"gas","Gas & Fuel",Include
2025-01-26,2025-01-27,"AMAZON* ZG4FN48E1 VANCOUVER BC",51.38,"uncategorized","Uncategorized",Include
2025-01-27,2025-01-29,"SAVE ON FOODS #2224 KELOWNA BC",26.95,"groceries","Groceries",Include
2025-01-29,2025-01-30,"PIZZA HUT #31142 KELOWNA BC",72.73,"dining","Dining & Restaurants",Include
2025-01-29,2025-01-30,"IMPARK00100286U KELOWNA BC",3.75,"miscellaneous","Miscellaneous",Include
2025-01-30,2025-01-31,"AMAZON* ZC6YK3250 VANCOUVER BC",17.91,"uncategorized","Uncategorized",Include
2025-01-30,2025-01-31,"COSTCO WHOLESALE W1578 KELOWNA BC",19.59,"groceries","Groceries",Include
2025-01-30,2025-01-31,"COSTCO WHOLESALE W1578 KELOWNA BC",22.87,"groceries","Groceries",Include
2025-01-30,2025-01-31,"MICROSOFT*STORE MISSISSAUGA ON",21.27,"entertainment","Entertainment",Include
2025-01-31,2025-01-31,"TIM HORTONS #1459 250-863-9709 BC",8.98,"fast-food","Fast Food",Include
2025-01-31,2025-02-03,"AMAZON* ZC1VP5GZ1 VANCOUVER BC",33.59,"uncategorized","Uncategorized",Include
2025-01-31,2025-02-03,"AMAZON* ZC8H25XO1 VANCOUVER BC",11.19,"uncategorized","Uncategorized",Include
2025-02-01,2025-02-03,"AMAZON* ZC0GP3YB0 VANCOUVER BC",12.53,"uncategorized","Uncategorized",Include
2025-02-01,2025-02-03,"SHOPPERS DRUG MART #22 KELOWNA BC",9.64,"personal-care","Personal Care",Include
2025-02-02,2025-02-03,"AMAZON.COM.CA www.amazon.coON",102.99,"uncategorized","Uncategorized",Include
2025-02-02,2025-02-03,"Amazon Web Services www.amazon.caON",35.87,"business-expense","Business Expense",Include
2025-02-02,2025-02-03,"GITHUB, INC. SAN FRANCISCOCA",14.96,"business-expense","Business Expense",Include
2025-02-03,2025-02-04,"GOOGLE *YouTubePremium 650-253-0000 NS",14.55,"entertainment","Entertainment",Include
2025-02-04,2025-02-05,"SUBCITY DONAIR KELOWNA BC",67.25,"fast-food","Fast Food",Include
2025-02-05,2025-02-05,"TIM HORTONS #1459 250-863-9709 BC",10.76,"fast-food","Fast Food",Include
2025-02-03,2025-02-06,"LITTLE CAESARS #4952 KELOWNA BC",13.99,"fast-food","Fast Food",Include
2025-02-04,2025-02-06,"SAVE ON FOODS #2224 KELOWNA BC",3.90,"groceries","Groceries",Include
2025-02-05,2025-02-07,"DAIRY QUEEN #27421 KELOWNA BC",13.77,"fast-food","Fast Food",Include
2025-02-05,2025-02-10,"ESSO 7-ELEVEN 37773 KELOWNA BC",72.69,"gas","Gas & Fuel",Include
2025-02-06,2025-02-10,"MCDONALD©S #40162 QPS KELOWNA BC",14.18,"fast-food","Fast Food",Include
2025-02-07,2025-02-10,"Ad free for PrimeVideo Prime Video BC",3.35,"entertainment","Entertainment",Include
2025-02-06,2025-02-10,"WAL-MART #3042 KELOWNA BC",58.28,"groceries","Groceries",Include
2025-02-07,2025-02-10,"SP 3DMOUSE.CA TORONTO ON",559.99,"hobbies","Hobbies",Include
2025-02-08,2025-02-10,"TIM HORTONS #8502 250-717-3997 BC",12.93,"fast-food","Fast Food",Include
2025-02-10,2025-02-10,"MICROSOFT*ULTIMATE 1 M HALIFAX NS",25.75,"entertainment","Entertainment",Include
2025-02-11,2025-02-11,"TIM HORTONS #1459 250-863-9709 BC",3.84,"fast-food","Fast Food",Include
2025-02-11,2025-02-12,"aliexpress Vancouver BC",50.44,"hobbies","Hobbies",Include
2025-02-10,2025-02-12,"SAVE ON FOODS #2224 KELOWNA BC",24.87,"groceries","Groceries",Include
2025-02-10,2025-02-12,"SAVE ON FOODS #2224 KELOWNA BC",12.34,"groceries","Groceries",Include
2025-02-12,2025-02-13,"AMAZON* 5K6T14FG3 VANCOUVER BC",53.91,"uncategorized","Uncategorized",Include
2025-02-13,2025-02-13,"IMPARK00100286H 844-309-1028 BC",3.50,"miscellaneous","Miscellaneous",Include
2025-02-13,2025-02-14,"Amazon Channels amazon.ca BC",12.31,"entertainment","Entertainment",Include
2025-02-12,2025-02-14,"DAIRY QUEEN #27421 KELOWNA BC",27.15,"fast-food","Fast Food",Include
2025-02-13,2025-02-14,"Audible CA*ZQ3DF2T43 Amzn.com/billNJ",16.74,"entertainment","Entertainment",Include
